0000003225,scans,0000000130,DataLength
"header",0000000040,"lines"
"Date",3/29/2016,"Time",4:03:14 PM
"ID","HAL IDP LOW ENERGY #14936","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
00:02:15,    135114,        770,        370,       1610,     174140,      33070,       4900,       3120,       1970,      11900,
00:02:16,    136178,        640,        400,       1810,     170700,      33790,       4850,       2820,       2030,      12090,
00:02:17,    137241,        710,        510,       1570,     173180,      33940,       5290,       3200,       2310,      11250,
00:02:18,    138304,        640,        480,       1680,     173920,      33410,       4620,       2830,       1960,      11790,
00:02:19,    139368,        510,        210,       1580,     170950,      34130,       4770,       3180,       2230,      10540,
00:02:20,    140431,        620,        410,       1400,     170010,      32880,       4600,       2980,       1950,      10800,
00:02:21,    141494,        690,        470,       1580,     168720,      33760,       5040,       2850,       2010,      12010,
00:02:22,    142558,        640,        370,       1210,     170800,      33380,       4590,       2420,       2090,      11060,
00:02:23,    143621,        720,        280,       1360,     171610,      32780,       4750,       2980,       2000,      11020,
00:02:24,    144684,        690,        310,       1480,     172370,      33830,       4730,       3170,       2120,      11160,
00:02:25,    145748,        740,        370,       1490,     167990,      33190,       4650,       3050,       1940,      10570,
00:02:26,    146811,        710,        330,       1360,     169860,      31210,       4600,       3000,       1930,      11420,
00:02:27,    147874,        650,        310,       1300,     167380,      31020,       4540,       3160,       1860,      11840,
00:02:28,    148938,        580,        340,       1470,     168420,      32460,       4280,       2880,       1740,      11420,
00:02:30,    150001,        780,        380,       1330,     168180,      33520,       4940,       2390,       2000,      11270,
00:02:31,    151064,        510,        360,       1380,     168220,      33120,       4780,       2930,       2160,      11570,
00:02:32,    152128,        670,        360,       1490,     164890,      34110,       4350,       2940,       1590,      11050,
00:02:33,    153191,        600,        400,       1170,     163210,      32850,       4620,       3010,       1790,      11130,
00:02:34,    154254,        560,        370,       1570,     168840,      33270,       4720,       2500,       1940,      11150,
00:02:35,    155318,        830,        420,       1190,     167460,      33380,       5160,       2670,       2160,      11490,
00:02:36,    156381,        650,        410,       1280,     166310,      33540,       5050,       3400,       2100,      10630,
00:02:37,    157444,        700,        380,       1780,     165050,      32580,       4430,       2630,       1750,      11690,
00:02:38,    158508,        660,        340,       1730,     166620,      32630,       4670,       2630,       2060,      11230,
00:02:39,    159571,        930,        380,       1360,     164490,      32150,       4820,       2710,       1560,      11110,
00:02:40,    160634,        480,        280,       1360,     165770,      32970,       4640,       2610,       1930,      11190,
00:02:41,    161698,        510,        370,       1060,     161730,      32560,       4560,       2860,       2390,      10520,
00:02:42,    162761,        510,        330,       1380,     162170,      33120,       4630,       2510,       1900,      11080,
00:02:43,    163824,        640,        580,       1400,     162140,      34280,       4430,       2870,       2090,      11260,
00:02:44,    164888,        550,        350,       1270,     163750,      32940,       4590,       2870,       2150,      10680,
00:02:45,    165951,        620,        380,       1460,     161370,      32240,       4570,       2610,       1710,      11570,
00:02:47,    167014,        910,        380,       1590,     160570,      32690,       4460,       3040,       1720,      10500,
00:02:48,    168078,        780,        370,       1500,     161680,      33310,       4610,       3030,       1850,      10760,
00:02:49,    169141,        740,        270,       1730,     163130,      32340,       4600,       2510,       1610,      11310,
00:02:50,    170204,        600,        410,       1150,     164820,      33180,       4860,       2780,       1600,      10490,
00:02:51,    171268,        630,        360,       1390,     162140,      32320,       4530,       2740,       1960,      10900,
00:02:52,    172331,        770,        370,       1170,     161890,      33150,       4840,       2760,       1580,      11690,
00:02:53,    173394,        560,        280,       1570,     162510,      32540,       5170,       2790,       1860,      11230,
00:02:54,    174458,        640,        340,       1330,     159820,      32250,       4520,       3470,       1860,      10550,
